# normalized_time, B2_par, B2_perp, E2_par, E2_perp, two_stream_growth, oblique_growth, filamentation_growth
6.138006598236921185e+00, 6.431453429106886406e-10, 9.272411731507189771e-05, 4.460156971638411065e-05, 5.568433548320275245e-05, 1.101915915083909292e+00, 5.370721924004778103e+00, 1.535191949666074684e+01
6.238629657224411318e+00, 6.928545521733224960e-10, 9.376463278315373489e-05, 4.563225749864690948e-05, 5.657903725240743886e-05, 1.103670447921808240e+00, 5.520779673925932940e+00, 1.605491365621726985e+01
6.339252716211902339e+00, 7.440680684553107035e-10, 9.552269580528927886e-05, 4.662645223728511992e-05, 5.755546105205949342e-05, 1.105427774426117615e+00, 5.675030031215337445e+00, 1.679009928137377727e+01
6.439875775199392471e+00, 7.877755705642846819e-10, 9.669401989549626750e-05, 4.791819731066215734e-05, 5.792665334521973663e-05, 1.107187899045071422e+00, 5.833590137150622468e+00, 1.755895048175606377e+01
6.540498834186882604e+00, 8.524011315552119877e-10, 9.918288929522528215e-05, 4.815564335768886207e-05, 5.871827245246132412e-05, 1.108950826233985776e+00, 5.996580405931904778e+00, 1.836300886932782817e+01
6.641121893174373625e+00, 9.012106002220069200e-10, 1.006057896481641749e-04, 4.926497648739218817e-05, 6.091519079169087917e-05, 1.110716560455271118e+00, 6.164124616127106826e+00, 1.920388664945362223e+01
6.741744952161863758e+00, 9.660812334421408273e-10, 1.014848961409151425e-04, 4.996471716900575927e-05, 6.095401133513411799e-05, 1.112485106178443317e+00, 6.336350004672248737e+00, 2.008326985350754157e+01
6.842368011149354778e+00, 1.029187119989125503e-09, 1.052826009523047369e-04, 5.119354460252432119e-05, 6.188723574442933412e-05, 1.114256467880134327e+00, 6.513387363498122973e+00, 2.100292171950932740e+01
6.942991070136844911e+00, 1.090155177306979431e-09, 1.054742795403045734e-04, 5.241934926702789769e-05, 6.331564059937522151e-05, 1.116030650044104622e+00, 6.695371138856689441e+00, 2.196468622756640343e+01
7.043614129124335932e+00, 1.173348599380935191e-09, 1.081815555139003149e-04, 5.320230277198185993e-05, 6.452069338238983372e-05, 1.117807657161253854e+00, 6.882439533422667566e+00, 2.297049179721059531e+01
7.144237188111826065e+00, 1.224024930144077200e-09, 1.104656431271709509e-04, 5.387990449356477347e-05, 6.496623939175826228e-05, 1.119587493729631955e+00, 7.074734611247832206e+00, 2.402235515404309751e+01
7.244860247099316197e+00, 1.331346980315782348e-09, 1.123732205063074846e-04, 5.597142918183332526e-05, 6.738990079524979470e-05, 1.121370164254451574e+00, 7.272402405647723000e+00, 2.512238537344061129e+01
7.345483306086807218e+00, 1.375975419377472667e-09, 1.139138489902191692e-04, 5.604858206146542840e-05, 6.714600979473340798e-05, 1.123155673248098063e+00, 7.475593030102723802e+00, 2.627278810943062837e+01
7.446106365074297351e+00, 1.499938757778537758e-09, 1.181756942545864227e-04, 5.754765440083950981e-05, 6.955717561630282958e-05, 1.124944025230142142e+00, 7.684460792257690187e+00, 2.747587001721505828e+01
7.546729424061788372e+00, 1.550429292368913682e-09, 1.181668779988559042e-04, 5.882934100303065830e-05, 7.096884803536631086e-05, 1.126735224727350770e+00, 7.899164311106734004e+00, 2.873404337820991827e+01
7.647352483049278504e+00, 1.674748336793973760e-09, 1.222728052106444288e-04, 6.018036574870359097e-05, 7.162906538412484652e-05, 1.128529276273698478e+00, 8.119866637452144431e+00, 3.004983093687441809e+01
7.747975542036768637e+00, 1.750459308941684857e-09, 1.240804003063941978e-04, 6.189744767733403985e-05, 7.333137937556745282e-05, 1.130326184410379353e+00, 8.346735377728940364e+00, 3.142587095902789329e+01
7.848598601024259658e+00, 1.856471895203974638e-09, 1.282975241047340672e-04, 6.211560658837203140e-05, 7.464254096213583948e-05, 1.132125953685818143e+00, 8.579942821289035848e+00, 3.286492252179688478e+01
7.949221660011749790e+00, 1.978897056519874141e-09, 1.292551100850870371e-04, 6.513392650712152682e-05, 7.820745294069985796e-05, 1.133928588655681580e+00, 8.819666071241767824e+00, 3.436987104579912256e+01
8.049844718999240811e+00, 2.051883144221448923e-09, 1.332502582844125613e-04, 6.476276690731872464e-05, 7.713683591698167229e-05, 1.135734093882890594e+00, 9.066087178950061443e+00, 3.594373408065694520e+01
8.150467777986731832e+00, 2.222583426179896885e-09, 1.373075929622987064e-04, 6.818991039295302088e-05, 8.122324759420560013e-05, 1.137542473937631193e+00, 9.319393282284462288e+00, 3.758966735544063198e+01
8.251090836974221077e+00, 2.273879709105723211e-09, 1.383930124123073757e-04, 6.865463024758286547e-05, 8.191870768375507286e-05, 1.139353733397366231e+00, 9.579776747739916942e+00, 3.931097110617322699e+01
8.351713895961712097e+00, 2.479012867377564353e-09, 1.443051443511797808e-04, 7.033833980274811705e-05, 8.398238022956174052e-05, 1.141167876846847173e+00, 9.847435316523332816e+00, 4.111109669308408598e+01
8.452336954949203118e+00, 2.536312414099266081e-09, 1.467368832736282960e-04, 7.272346671315672981e-05, 8.707227660417929491e-05, 1.142984908878125871e+00, 1.012257225472283650e+01, 4.299365352087931313e+01
8.552960013936692363e+00, 2.737258264815269622e-09, 1.497676108023155231e-04, 7.390759976722547676e-05, 8.798773325025814227e-05, 1.144804834090565437e+00, 1.040539650767268576e+01, 4.496241627590477208e+01
8.653583072924183384e+00, 2.839284220269754271e-09, 1.563754003233674386e-04, 7.663246225029577406e-05, 9.129063590749345307e-05, 1.146627657090852459e+00, 1.069612285863119894e+01, 4.702133249471279441e+01
8.754206131911674404e+00, 3.007319502228120331e-09, 1.571946699208375399e-04, 7.789134939808677407e-05, 9.317151703880591370e-05, 1.148453382493008768e+00, 1.099497209189211944e+01, 4.917453047920836440e+01
8.854829190899165425e+00, 3.176888407446347790e-09, 1.654139316183134145e-04, 8.053559446836987561e-05, 9.661658255038035555e-05, 1.150282014918402540e+00, 1.130217116045327330e+01, 5.142632757424502898e+01
8.955452249886654670e+00, 3.303216273459741046e-09, 1.660277759687470904e-04, 8.235352728885068712e-05, 9.842420663596211671e-05, 1.152113558995760956e+00, 1.161795335836992926e+01, 5.378123882426807256e+01
9.056075308874145691e+00, 3.531925541793310826e-09, 1.751924180829214043e-04, 8.509559815495359861e-05, 1.014382603231547971e-04, 1.153948019361180632e+00, 1.194255849792367030e+01, 5.624398602636216538e+01
9.156698367861636711e+00, 3.639501830887956652e-09, 1.770248387181422918e-04, 8.697923229374174585e-05, 1.049377058992913736e-04, 1.155785400658140505e+00, 1.227623309174138733e+01, 5.881950719785546511e+01
9.257321426849125956e+00, 3.902427482403266645e-09, 1.838394792221416645e-04, 9.013858601866842958e-05, 1.084547776516557729e-04, 1.157625707537512927e+00, 1.261923054000263100e+01, 6.151296647746407587e+01
9.357944485836616977e+00, 4.024602893273015327e-09, 1.897014425951382111e-04, 9.117967166513365638e-05, 1.104695729524019421e-04, 1.159468944657575662e+00, 1.297181132287755112e+01, 6.432976447982844093e+01
9.458567544824107998e+00, 4.289475690639493321e-09, 1.952421227444393534e-04, 9.672148965031740107e-05, 1.160850816328133671e-04, 1.161315116684023652e+00, 1.333424319834156968e+01, 6.727554912420485778e+01
9.559190603811599019e+00, 4.448854422446633409e-09, 2.011616338211163265e-04, 9.658264528121841028e-05, 1.170093273278795406e-04, 1.163164228289980784e+00, 1.370680140551692894e+01, 7.035622695902291923e+01
9.659813662799088263e+00, 4.694585444749400147e-09, 2.096965552441699162e-04, 1.026119513618827162e-04, 1.239288159648399491e-04, 1.165016284156011661e+00, 1.408976887369564146e+01, 7.357797500501700938e+01
9.760436721786579284e+00, 4.934688756541950670e-09, 2.132255686759390405e-04, 1.032922075472639478e-04, 1.258675551747743908e-04, 1.166871288970134035e+00, 1.448343643720250817e+01, 7.694725314067774491e+01
9.861059780774070305e+00, 5.118924912560822233e-09, 2.252537713568000951e-04, 1.081445238116462932e-04, 1.314127320486260309e-04, 1.168729247427829687e+00, 1.488810305626143915e+01, 8.047081705485659597e+01
9.961682839761559549e+00, 5.460290507081481359e-09, 2.277648754657744020e-04, 1.115162306217349736e-04, 1.365405194562720409e-04, 1.170590164232056862e+00, 1.530407604403269950e+01, 8.415573179249645364e+01
1.006230589874905057e+01, 5.590054645980564773e-09, 2.404066396647630815e-04, 1.138502373571399946e-04, 1.385735128376824118e-04, 1.172454044093262260e+00, 1.573167129999362501e+01, 8.800938592064625254e+01
1.016292895773654159e+01, 6.007166888854119984e-09, 2.480561811201387689e-04, 1.197057132691700253e-04, 1.480622418805047134e-04, 1.174320891729392802e+00, 1.617121354983999382e+01, 9.203950634316585422e+01
1.026355201672403261e+01, 6.142811651001724320e-09, 2.520535330309457375e-04, 1.231258042053538651e-04, 1.500443142805785331e-04, 1.176190711865907401e+00, 1.662303659209015905e+01, 9.625417379382470529e+01
1.036417507571152186e+01, 6.559527904352759776e-09, 2.711461040982439093e-04, 1.258302605649399110e-04, 1.555129406694847271e-04, 1.178063509235789619e+00, 1.708748355157936771e+01, 1.006618390388590001e+02
1.046479813469901288e+01, 6.764010071779994031e-09, 2.720402678768540851e-04, 1.328297394517352203e-04, 1.656578839888231305e-04, 1.179939288579558543e+00, 1.756490714003668785e+01, 1.052713398214763885e+02
1.056542119368650390e+01, 7.153750103370495951e-09, 2.864481381859584636e-04, 1.354818332468407064e-04, 1.675899023426222505e-04, 1.181818054645281668e+00, 1.805566992394238568e+01, 1.100919185822811812e+02
1.066604425267399314e+01, 7.434207701464448627e-09, 2.991662721186556404e-04, 1.407874328169663955e-04, 1.753398324489410744e-04, 1.183699812188586664e+00, 1.856014459986930021e+01, 1.151332409911531585e+02
1.076666731166148416e+01, 7.794886429374262034e-09, 3.075923303608858153e-04, 1.480794978772608113e-04, 1.843906202718759775e-04, 1.185584565972673143e+00, 1.907871427751719651e+01, 1.204054153277369039e+02
1.086729037064897518e+01, 8.165922153345724851e-09, 3.205598655504280346e-04, 1.502947880000861977e-04, 1.885103182250663569e-04, 1.187472320768325540e+00, 1.961177277065513280e+01, 1.259190127494004372e+02
1.096791342963646443e+01, 8.478190803916575615e-09, 3.361171024942520525e-04, 1.585631188608533899e-04, 1.989087571868018386e-04, 1.189363081353923768e+00, 2.015972489619267449e+01, 1.316850884873045118e+02
1.106853648862395545e+01, 8.969491880301006797e-09, 3.456048152155559287e-04, 1.619535904526054010e-04, 2.061006594836588940e-04, 1.191256852515456544e+00, 2.072298678160721508e+01, 1.377152040130791875e+02
1.116915954761144647e+01, 9.244198814069669325e-09, 3.627486658787978241e-04, 1.707899818313954766e-04, 2.150698886892118164e-04, 1.193153639046533598e+00, 2.130198618096078889e+01, 1.440214502205575400e+02
1.126978260659893749e+01, 9.805504001978640153e-09, 3.756970839307069801e-04, 1.755901003643156990e-04, 2.221629949634243179e-04, 1.195053445748396337e+00, 2.189716279974632940e+01, 1.506164716690438468e+02
1.137040566558642674e+01, 1.006677500264193165e-08, 3.946612386070628541e-04, 1.830918534978973836e-04, 2.338638215018734785e-04, 1.196956277429931825e+00, 2.250896862881017668e+01, 1.575134919367293946e+02
1.147102872457391776e+01, 1.076573182642976801e-08, 4.048285036681114300e-04, 1.917280945411296768e-04, 2.446727293598849112e-04, 1.198862138907683672e+00, 2.313786828760438041e+01, 1.647263401350905099e+02
1.157165178356140878e+01, 1.091650599692717865e-08, 4.295246509487048539e-04, 1.944355216822292259e-04, 2.504013029413488492e-04, 1.200771035005864684e+00, 2.378433937702935808e+01, 1.722694786374306375e+02
